FoliageArthID,BeatSheetFK,CCGroup,Length,Quantity,PhotoURL,CCNotes,TaxonLevel,Taxon,TotalMass,TaxonID,NumberWeighed
105199,131093,beetle,3,1,NA,NA,genus,Melanotus,3.2,113906,
105200,131093,ant,3,1,NA,NA,genus,Crematogaster,0.8,574052,
105202,131094,ant,3,1,NA,NA,genus,Lasius,0.3,154217,
105203,131094,beetle,3,1,NA,NA,genus,Melanotus,2.7,113906,
105204,131094,beetle,2,1,NA,NA,order,Coleoptera,0.3,109216,
105205,131094,caterpillar,3,1,NA,NA,family,Geometridae,0.2,117556,
105206,131097,ant,8,1,NA,NA,genus,Camponotus,25.4,154194,
105207,131097,ant,3,1,NA,NA,species,Linepithema humile,1.5,575041,
105208,131097,spider,4,1,NA,NA,family,Thomisidae,9.8,871543,
105209,131097,spider,2,1,NA,NA,order,Araneae,1.4,82732,
105210,131098,fly,3,1,NA,NA,order,Diptera,NA,118831,
105211,131100,spider,4,1,NA,NA,species,Hibana gracilis,7.9,881342,
105212,131100,spider,2,1,NA,NA,family,Anyphaenidae,0.3,871515,
105213,131102,beetle,4,1,NA,NA,genus,Melanotus,5.1,113906,
105214,131102,beetle,5,1,NA,NA,genus,Melanotus,8.7,113906,
105215,131106,bee,2,1,NA,NA,family,Conopidae,0.1,141828,
105216,131108,ant,4,1,NA,NA,species,Linepithema humile,2.3,575041,
105217,131108,spider,4,1,NA,NA,species,Hibana gracilis,4.6,881342,
105218,131109,spider,2,1,NA,NA,family,Gnaphosidae,1.6,185556,
105219,131109,truebugs,3,1,NA,NA,family,Anthocoridae,2.2,106903,
105220,131112,ant,3,1,NA,NA,genus,Brachymyrmex,0.9,573953,
105221,131112,spider,2,1,NA,NA,family,Anyphaenidae,1.4,871515,
105222,131114,ant,3,2,NA,"Same kind, lost 2",species,Linepithema humile,2.1,575041,
105223,131114,aphid,2,2,NA,NA,family,Aphididae,0.6,109191,
105224,131114,spider,3,1,NA,NA,species,Hibana gracilis,2.7,881342,
105225,131114,spider,4,2,NA,Same kind,species,Hibana gracilis,4.2,881342,
105226,131115,ant,4,8,NA,All same,species,Linepithema humile,11.8,575041,
105241,131126,ant,2,1,NA,NA,genus,Tapinoma,0.4,154243,
105242,131126,truebugs,2,2,NA,NA,genus,Corythucha,1.2,104215,
105244,131128,spider,3,1,NA,NA,family,Philodromidae,2.1,871533,
105245,131128,truebugs,3,2,NA,NA,genus,Corythucha,0.7,104215,
105246,131129,spider,3,1,NA,NA,family,Tetragnathidae,0.7,847764,
105247,131130,beetle,3,1,NA,NA,family,Latridiidae,0.2,678391,
105248,131131,spider,5,1,NA,NA,family,Salticidae,10.5,871537,
105249,131131,truebugs,2,2,NA,NA,genus,Corythucha,0.4,104215,
105250,131131,truebugs,5,1,NA,NA,family,Berytidae,0.8,107642,
105251,131133,beetle,2,1,NA,NA,species,Chilocorus stigma,1.8,114345,
105252,131134,other,2,1,NA,Psocodea,order,Psocodea,0.7,998435,
105254,131136,truebugs,14,1,NA,NA,species,Zelus luridus,65.7,107375,
105255,131136,truebugs,2,1,NA,NA,genus,Corythucha,0.1,104215,
105256,131138,beetle,3,1,NA,NA,family,Saldidae,0.8,104063,
105257,131138,truebugs,5,1,NA,NA,family,Miridae,9.5,104419,
105258,131139,spider,3,1,NA,NA,family,Araneidae,4,82737,
105259,131140,other,3,9,NA,"Psocodea, all same",order,Trichoptera,NA,115095,
105260,131140,spider,2,1,NA,NA,suborder,Heteroptera,0.3,103358,
105261,131141,beetle,3,1,NA,NA,family,Mordellidae,3.1,114383,
105262,131142,ant,5,1,NA,NA,genus,Camponotus,9.4,154194,
105263,131144,other,2,2,NA,Psocodea,order,Psocodea,0.2,998435,
105264,131147,beetle,5,1,NA,NA,genus,Melanotus,9.2,113906,
105265,131148,beetle,3,1,NA,NA,family,Chrysomelidae,4,114509,
105266,131148,beetle,5,1,NA,NA,genus,Melanotus,10.8,113906,
105267,131149,beetle,11,1,NA,NA,family,Elateridae,52.5,113879,
105268,131149,beetle,5,1,NA,NA,genus,Melanotus,11.8,113906,
